@relation movieComments
@attribute comments string
@attribute lables integer
@data
' try  finish  film  three  time  god  awful  .  case  point  mom  daughter  drive  up  bed  breakfast  mom  stop  gas  crazy  gas  station  weirdos  mad  hubby  whose  run  b  b  try  rape  .  escape  head  b  b  instead  hubby  go  ballistic  want  call  cop  story  continue  lukewarm  behavior  on  part  .  wow.other  action  logic  deficits  abound  .  act  also  lukewarm  next  door  neighbor  warn  deliver  really  corny  badly  act  moment.moments  intense  gore  death  unevenly  interweave  lukewarm  scenes  time  filler  interplay  characters.less  focus  on  gore  focus  on  mood  story  would  appreciate  .',-1
' get  watch  dvd  home  .  love  westerns  husband  rent  .  start  apologize  half  way  .  saddle  costume  accent  everything  .  part  make  mad  guy  shoot  collector  bow  arrow  take  fat  guy  soul  .  excuse  arrows  leave  .  watch  way  someone  else  say  ...  too  many  bad  things  single  out  one  reason  suck  .  mean  fact  boy  happen  snatch  evil  stone  collector  on  month  day  find  point  grave  yard  everyone  die  on  april  people  whose  souls  take  collector  still  up  walk  around  want  movie  make  fun  beers  may  movie  .  however  want  real  western  hate  movie  .',-1
' oh  worst  reunion  movie  ever  see  .  say  lot  .  ashamed  watching.what  happen  script  meet  ooooooh  know  let  two  stud  muffins  fall  madly  love  annoy  character  since  cousin  oliver  .  yeah  cool  even  sitcoms  implausible  plot  since  ron  popeil  start  spray  paint  bald  men  .',-1
' sure  one  woah  attractions  epcot  open  silly  .  film  message  clich  .  circle  vision  disorient  .  awful  song  end  grate  .  really  wish  install  seat  .  much  walk  want  sit  down  minutes  .  hear  film  see  sound  pretty  glamorous  get  entertain  sit  down  right  wrong  stand  minutes  lean  short  little  rail  .  disney  make  newer  maelstrom  like  attraction  liven  things  up  replace  dull  lackluster  film  .  not  fun  .  skip  .  fact  skip  canada  altogether  unless  eat  .  move  directly  unite  kingdom  .',-1
' worst  movie  ever  see  billy  zane  .  understand  movie  mainly  showcase  new  comers  pretty  good  newbies  movie  not  believable.with  gunfire  would  think  police  would  intervene  .  even  coin  bug  on  sean  stupid  .  way  sean  suddenly  realize  coin  bug  not  realistic.looks  like  movie  slap  together  fast  .  poor  job  .  get  better  writer.the  count  down  end  not  sync  anything  .  take  longer  fight  .  coincidence  time  billy  go  blast  sean  out  bullets  .  believe  not  twice.actually  billy  character  goofy  .  stupid  sean  punch  out  end  .  like  comedy  .  bad  bad  bad',-1
' rent  dvd  hop  good  western  .  film  pretty  scenes  reasonable  ideas  bad  .  problems  film.in  first  part  exactly  bad  guy  kill  mine  owner  not  really  connect  movie  except  establish  bad  hideout.the  bank  employee  go  bad  act  too  poorly  convincingly  decide  hire  killers  employers  .  least  keep  us  guess  .  no  character  develop  bank  owners  bank  employee.very  long  delay  much  anything  happening.absurd  premise  martin  still  need  see  judge  gang  confess  kill  laws  .  even  absurd  confess  judge  judge  not  listen  sheriff  guy  .  even  ridiculous  martin  hang  rope  break  sheriff  take  gunpoint  finally  head  back  town  save  wife  bad  bank  employee  .  return  quick  dispatch  gang  save  wife  arrest  bad  bank  guy  send  judge  note  gang  confess  kill  on  trail  overall  sad  act  no  point  movie  .',-1
' months  hear  little  movie  see  .  find  cute  cute  many  fledgling  directors  make  movies  combine  people  creative  ideas  order  make  one  joke  premise  movie  .  troop  swingblade  million  blair  witch  parody  come  mind  .  directors  want  foot  inside  hollywood  door  right  thing  keep  up  combine  plot  outline  hollywood  make  film  .  many  time  hear  phrase  animal  house  meet  back  future  wall  street  meet  dead  poet  society  shakespeare  love  meet  star  war  remember  independent  film  mean  original  dare  not  safe  predictable  .',-1
' want  clarify  things  .  not  familiar  ming  liang  tsai  movies  familiar  art  cinema  grow  up  seventies  time  goddard  fellini  bergman  bertolucci  many  others.art  movies  really  art  like  paint  .  people  express  inner  feel  not  really  worry  people  understand  anything  .  beyond  commercial  value  look  old  antonioni  early  picasso  understand.tian  bian  yi  duo  yun  wayward  cloud  nothing  .  opportunistic  movie  intend  fool  festival  judge  critics  play  many  things  without  say  anything.the  story  make  no  sense  .  lack  water  make  government  promote  use  watermelons  hydrate  .  girl  desperation  steal  water  public  bathrooms  wc  .  also  porno  start  neighbor  try  make  movie  actress  not  seem  feel  comfortable  .  romantic  awaken  girl  porno  star  .  mess  end  sexual  scene  not  pornographic  many  people  feel  shock  believe  less  provocative  see  american  pie  history  violence.the  two  main  character  never  talk  .  sometimes  musical  number  style  appear  explain  song  happen  character  mind  .  video  clip  really  welcome  previous  scene  without  dialog  music  people  look  take  sometimes  even  minutes  movie  time  too  much.there  also  bits  difficult  make  sex  without  love  selfish  mind  porno  industry  .it  obvious  movie  intend  get  away  fool  festival  juries  critics  .  pseudo  shock  scenes  within  limit  taiwan  censorship  many  subject  open  nothing  conclude  go  anywhere.these  trick  get  movie  dispute  important  price  film  festivals  get  movie  undeserved  commercial  success  see  movie  france  theater  pack  .however  please  not  fool  .  nothing  new  original  even  originally  tell  film  movie  .  bore  empty  really  fraud  public  .  boogie  nights  not  really  like  intimacy  songs  far  better  movies  .',-1
' design  annoy  amuse  self  respect  intelligent  person  .  director  intention  viewer  dislike  title  character  would  okay  know  no  thing  hollywood  director  make  critique  america  pro  marxist  movement  especially  not  filmmaker  s.  much  idiotic  dialog  go  on  sometimes  wonder  actually  watch  comedy  .  fault  think  satire  nave  movie  appear  .  spacek  share  leftist  movies  bring  obvious  inescapable  conclusion  redhead  hick  one  hollywood  liberal  morons  .  mean  nice  boob  brain  .',-1
' change  title  atrocity  unexpected  love  .  thing  worse  film  .  script  contain  dialogue  would  laugh  out  third  grade  play  recital  .  one  point  wife  leave  husband  bad  cover  play  soundtrack  no  kid  .  actors  try  defeat  inept  unbelievably  terrible  script  .  direction  staggeringly  bad  .  no  wonder  lifetime  bad  reputation  .  things  like  get  make  .  turn  television',-1
' buy  dvd  bargain  bin  due  impressive  amount  feature  list  on  cover  pop  dvd  player  everything  look  good  .  nice  animate  menus  whole  lot  extra  feature  ...  play  movie  let  down  .  worst  thing  ever  see  see  bad  movies  time  .  comment  praise  movie  imdb  actually  people  make  film  .  believe  unless  like  waste  cash',-1
' really  sad  thing  supposedly  highest  budget  halestorm  entertainment  work  .  involve  fin  litter  since  celluloid  waste  good  nothing  fill  trash  .  not  write  atrocious  joke  awful  camera  work  film  quality  amateur  best  .  soundtrack  sound  like  create  on  guy  laptop  pc  .  worst  part  actually  sit  whole  thing  .  think  believe  actually  pay  buy  ticket  theater  watch  actually  agree  show  film  .',-1
' really  high  expectations  must  admit  disappoint  .  movie  terrible  felt  obligate  register  account  imdb  warn  others  not  waste  time  .  storyline  terrible  keep  ask  throughout  movie  get  worse  yes  somehow  manage  make  worst  every  minute  end  up  think  want  hour  minutes  back  .  somebody  get  pay  dare  find  movie  worst  ...  really  high  expectations  must  admit  disappoint  .  movie  terrible  felt  obligate  register  account  imdb  warn  others  not  waste  time  .  storyline  terrible  keep  ask  throughout  movie  get  worse  yes  somehow  manage  make  worst  every  minute  end  up  think  want  hour  minutes  back  .  somebody  get  pay  dare  find  movie  worst  ...',-1
' one  come  age  film  nostalgia  adults  promise  kid  .  movie  neither  .  poor  excuse  let  sylvia  kristel  body  double  frolic  dorky  eric  brown  .  make  matter  worse  movie  either  silly  stupid  try  funny  sexy  dramatic  .  laugh  awkwardly  suppose  believe  teenager  would  go  alone  bury  dead  woman  front  yard  .  ponder  vigorously  on  woman  famous  emmanuelle  need  body  double  .  movie  go  on  on  start  imagine  hybrid  private  lessons  little  miss  millions  sylvia  kristel  seduce  jennifer  love  hewitt  howard  hesseman  make  us  nostalgic  wkrp  .  watch  laugh  people  stupidity  ed  begley  jr.  commit  performance  wonder  sylvia  kristel  would  look  like  jennifer  love  hewitt  .  give  idea  lesson  stay  away  movies  star  sylvia  kristel  not  emmanuelle  .',-1
' quite  sure  worst  movie  ever  make  .  make  year  old  boy  laugh  silly  humor  give  up  comedy  forever  .  unfortunately  joan  rivers  choose  differently  .  movie  full  predictable  gag  racist  unfunny  joke  .  particularly  memorable  scene  doctor  tell  lead  character  rabbit  die  pregnant  write  not  believe  actually  movie  scene  .  man  rush  dead  rabbit  on  doctor  desk  try  give  mouth  mouth  .  rotflmao  not  punch  line  tell  bad  things  movie  know  on  top  .  ha  ha  ha  ha  ah  ugh  ........',-1
' show  prove  waste  minutes  precious  dvr  hard  drive  space  .  expect  much  actually  receive  less  .  not  expect  show  cancel  second  episode  not  believe  geico  ever  attempt  use  cavemen  ad  campaign  ever  .  would  prefer  spend  night  check  daughter  hair  head  lice  watch  piece  refuse  .  wonder  abc  pass  on  make  show  fit  fall  schedual  perhaps  hospital  crime  mocumentary  reality  show  feature  aflac  duck  event  fail  express  opinion  show  let  clear  say  not  too  good  .',-1
' try  picture  pitch  dark  angel  .  think  matrix  think  bladerunner  think  chick  play  faith  angel  wear  shiny  black  leather  chick  like  leave  one  us  .  get  without  plot  dialogue  character  decent  action  budget  loud  bang  hot  chick  shiny  black  leather  straddle  big  throb  bike  .  fanboys  dig  loud  bang  hot  chicks  shiny  black  leather  straddle  big  throb  bike  right  flashy  shallow  dreary  formulaic  passionless  tedious  dull  dumb  humourless  desultory  barely  competent  .  live  action  anime  without  action  indeed  life  .  sf  way  joe  fanboy  like  fact  .',-1
' seem  everyone  film  channel  woody  allen  .  stammer  pause  stammer  .  really  die  hard  denero  fan  try  appear  edgy  artistic  come  look  like  low  budget  film  make  college  students  .  often  use  word  whole  film  hum  .  film  peg  atmosphere  late  sixties  early  seventies  though  .  like  film  people  constantly  talk  horrible  light  even  art  sake  make  feel  like  sit  on  lame  political  meet  might  like  need  really  bore  .  find  cd  dollar  bin  know  .',-1
' even  could  get  past  idea  bore  character  personally  witness  every  significant  moment  ok  katie  join  manson  family  nobody  die  altamont  movie  still  unbelievably  awful  .  get  impression  writers  lock  room  watch  forrest  gump  wonder  years  oliver  stone  film  call  research  .  canadian  television  critic  call  conclusion  first  episode  head  spin  .  right  .',-1
' ming  merciless  little  bardwork  movie  foul',-1
